so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
mpv0_au|210000|262700|262000|1|9|5|0.0042|0|0.05
mpv3_au|210000|262700|262000|1|9|6|0.0042|0|0.05
mpv2_bu|210000|225700|225000|1|9.5|6|0|0.000084|0.05
mpv8_bu|210000|225700|225000|1|8.5|7.5|0|0.000084|0.05
mpv0_hc|210000|225700|225000|1|9|5|0|0.000084|0.05
mpv0_rb|210000|225700|225000|1|8|5|0|0.000084|0.05
mpv3_rb|210000|225700|225000|1|7|5.5|0|0.000084|0.05
mpv4_rb|210000|225700|225000|1|7|6|0|0.000084|0.05
mpv0_ru|210000|225700|225000|1|8|5|0|0.0000378|0.05
mpv2_ru|210000|225700|225000|1|8.5|8|0|0.0000378|0.05
mpv3_ru|210000|225700|225000|1|6.5|6.5|0|0.0000378|0.05
mpv2_CF|210000|232700|232000|1|9.5|5.5|0.903|0|0.5
mpv0_MA|210000|232700|232000|1|9|5|0.42|0|0.5
mpv2_MA|210000|232700|232000|1|9|7.5|0.42|0|0.5
mpv6_TA|210000|232700|232000|1|6.5|6.5|0.315|0|0.5
mpv7_TA|210000|232700|232000|1|6.5|6.5|0.315|0|0.5
mpv9_TA|210000|232700|232000|1|6.5|6.5|0.315|0|0.5
mpv0_ZC|210000|232700|232000|1|8.5|5.5|0.042|0|0.5
mpv2_ZC|210000|232700|232000|1|9|5.5|0.042|0|0.5
mpv3_ZC|210000|232700|232000|1|9|5.5|0.042|0|0.5
