comm_no,strategy,contract,lot
shni,st134b_ni_day,ni1709,4
shru,st134b_ru_day,ru1709,1
shag,st134b_ag_day,ag1712,10
shrb,st134b_rb_day,rb1710,10
shbu,st134b_bu_day,bu1709,20
shhc,st134b_hc_day,hc1710,4
shzn,st134b_zn_day,zn1707,1
shni,st136b_ni_day,ni1709,6
shru,st136b_ru_day,ru1709,1
shrb,st136b_rb_day,rb1710,8
shbu,st136b_bu_day,bu1709,20
shhc,st136b_hc_day,hc1710,6
shzn,st136b_zn_day,zn1707,2
shni,st160b_ni_day,ni1709,2
shru,st160b_ru_day,ru1709,2
shag,st160b_ag_day,ag1712,10
shrb,st160b_rb_day,rb1710,40
shbu,st160b_bu_day,bu1709,20
shzn,st160b_zn_day,zn1707,2
