so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
mpv5_j|90050|145700|145000|1|8.5|7.5|0|0.000189|0
mpv7_j|90050|145700|145000|1|8.5|5|0|0.000189|0
mpv9_j|90050|145700|145000|1|8|5.5|0|0.000189|0
mpv6_m|90050|145700|145000|1|6|6|0.1575|0|0
mpv7_m|90050|145700|145000|1|7|6.5|0.1575|0|0
mpv9_m|90050|145700|145000|1|7.5|6.5|0.1575|0|0
mpv5_y|90050|145700|145000|1|9.5|7|0.2625|0|0
mpv7_cu|90000|145700|145000|1|7.5|7|0|0.000021|0.05
mpv3_hc|90000|145700|145000|1|9.5|9.5|0|0.000084|0.05
mpv7_hc|90000|145700|145000|1|8|5|0|0.000084|0.05
mpv8_hc|90000|145700|145000|1|8.5|8.5|0|0.000084|0.05
mpv0_rb|90000|145700|145000|1|9.5|5.5|0|0.000084|0.05
mpv5_rb|90000|145700|145000|1|6|6|0|0.000084|0.05
mpv6_rb|90000|145700|145000|1|6.5|6.5|0|0.000084|0.05
mpv7_rb|90000|145700|145000|1|7.5|7|0|0.000084|0.05
mpv8_rb|90000|145700|145000|1|9.5|5|0|0.000084|0.05
mpv9_rb|90000|145700|145000|1|8|6|0|0.000084|0.05
mpv6_AP|90000|145700|145000|1|9|8.5|1.07625|0|0.5
mpv9_AP|90000|145700|145000|1|9|8.5|1.07625|0|0.5
mpv0_CF|90000|145700|145000|1|8|6.5|1.5015|0|0.5
mpv2_CF|90000|145700|145000|1|9.5|7.5|1.5015|0|0.5
mpv3_CF|90000|145700|145000|1|7.5|6.5|1.5015|0|0.5
mpv4_CF|90000|145700|145000|1|8|5|1.5015|0|0.5
mpv5_CF|90000|145700|145000|1|6.5|6.5|1.5015|0|0.5
mpv0_RM|90000|145700|145000|1|8|7|0.07875|0|0.5
mpv2_RM|90000|145700|145000|1|9.5|7.5|0.07875|0|0.5
mpv3_RM|90000|145700|145000|1|8.5|6|0.07875|0|0.5
mpv4_RM|90000|145700|145000|1|9.5|8|0.07875|0|0.5
mpv5_RM|90000|145700|145000|1|9.5|8|0.07875|0|0.5
mpv2_SF|90000|145700|145000|1|9.5|5|1.26|0|0.5
mpv6_SF|90000|145700|145000|1|6.5|5.5|1.26|0|0.5
mpv7_SF|90000|145700|145000|1|7.5|5|1.26|0|0.5
mpv8_SF|90000|145700|145000|1|7|5|1.26|0|0.5
mpv9_SF|90000|145700|145000|1|6.5|5|1.26|0|0.5
mpv0_ZC|90000|145700|145000|1|8|6.5|0.042|0|0.5
mpv3_ZC|90000|145700|145000|1|9.5|5|0.042|0|0.5
mpv4_ZC|90000|145700|145000|1|8|5.5|0.042|0|0.5
mpv5_ZC|90000|145700|145000|1|8|5|0.042|0|0.5
