comm_no,strategy,contract,lot
dlj,st301a_dlj_day,j1901,1
dlm,st305a_dlm_day,m1901,1
dlm,st306a_dlm_day,m1901,1
dlj,st306a_dlj_day,j1901,1
dlm,st308a_dlm_day,m1901,1
dlj,st309a_dlj_day,j1901,1
dlm,st310a_dlm_day,m1901,1
dlm,st311a_dlm_day,m1901,1
dlj,st311a_dlj_day,j1901,1
dljd,st314a_dljd_day,jd1901,1
dlj,st314a_dlj_day,j1901,1
a,ipv3_dla_day,a1901,2
a,mpv2_dla_day,a1901,1
c,tst1_dlc_day,c1901,2
c,tst2_dlc_day,c1901,1
cs,tst1_dlcs_day,cs1901,1
j,chg5_dlj_day,j1901,1
jd,hv3_dljd_day,jd1901,1
jd,hv5_dljd_day,jd1901,1
jm,chg3_dljm_day,jm1901,1
l,tst1_dll_day,l1901,1
m,cpv0_dlm_day,m1901,1
m,ipv9_dlm_day,m1901,3
m,tst1_dlm_day,m1901,1
m,tst2_dlm_day,m1901,1
p,tst1_dlp_day,p1901,1
pp,chg5_dlpp_day,pp1901,1
pp,cpv3_dlpp_day,pp1901,1
pp,ipv3_dlpp_day,pp1901,1
pp,ipv4_dlpp_day,pp1901,1
pp,mpv4_dlpp_day,pp1901,1
pp,tst3_dlpp_day,pp1901,1
pp,tst8_dlpp_day,pp1901,1
pp,xpv4_dlpp_day,pp1901,1
v,tst2_dlv_day,v1901,2
y,tst2_dly_day,y1901,1
