item,strategy,contract,lot
cf,tst1_zzcf_night,CF709,1
cf,tst2_zzcf_night,CF709,1
ma,tst2_zzma_night,MA709,1
ma,tst_zzma_night,MA709,1
ma,tst1_zzma_night,MA709,1
rm,tst2_zzrm_night,RM709,1
rm,tst1_zzrm_night,RM709,1
sr,tst_zzsr_night,SR709,1
sr,tst0_zzsr_night,SR709,1
sr,tst1_zzsr_night,SR709,1
sr,tst2_zzsr_night,SR709,1
sr,tst4_zzsr_night,SR709,1
zc,tst0_zzzc_night,ZC709,1
zc,tst1_zzzc_night,ZC709,1
zc,tst2_zzzc_night,ZC709,1
zc,tst4_zzzc_night,ZC709,1
cf,tstv_zzcf_night,CF709,1
ma,tstv_zzma_night,MA709,1
sr,tstv_zzsr_night,SR709,1
ta,tstv_zzta_night,TA709,1
zc,tstv_zzzc_night,ZC709,1
