comm_no,strategy,contract,lot
ag,fl50_ag_night,ag1706,1
al,fl50_al_night,al1705,1
au,fl50_au_night,au1706,1
cu,fl50_cu_night,cu1705,1
hc,fl50_hc_night,hc1710,1
ni,fl50_ni_night,ni1705,1
pb,fl50_pb_night,pb1705,1
rb,fl50_rb_night,rb1710,1
ru,fl50_ru_night,ru1709,1
zn,fl50_zn_night,zn1705,1
ag,fl51_ag_night,ag1706,1
al,fl51_al_night,al1705,1
au,fl51_au_night,au1706,1
cu,fl51_cu_night,cu1705,1
hc,fl51_hc_night,hc1710,1
ni,fl51_ni_night,ni1705,1
pb,fl51_pb_night,pb1705,1
rb,fl51_rb_night,rb1710,1
ru,fl51_ru_night,ru1709,1
zn,fl51_zn_night,zn1705,1
ag,fl52_ag_night,ag1706,1
al,fl52_al_night,al1705,1
au,fl52_au_night,au1706,1
cu,fl52_cu_night,cu1705,1
hc,fl52_hc_night,hc1710,1
ni,fl52_ni_night,ni1705,1
pb,fl52_pb_night,pb1705,1
rb,fl52_rb_night,rb1710,1
ru,fl52_ru_night,ru1709,1
zn,fl52_zn_night,zn1705,1
